id,release_id,status,title,artist_id,artist_name,label_name,label_id,format,genre,style,country,release_date,notes,master_id,video_url,company_name
12,12295813,Accepted, Special Album Spot Commercial - Hooker And Heat,269094,Canned Heat,Liberty,13531,Vinyl,Blues,,US,1971,Issued to Top 40 Radio Station D.J.'s in the USA This Canned Heat Hooker And Heat Promotional 45 has 1 Advert only. ,,https://www.youtube.com/watch?v=xCDFWCSJk2U,
13,12295815,Accepted,Tuddalsspel I Oslo,6605312,Kjell Christian Midtgaard,ta:lik,122010,CD,"Folk, World, & Country",Nordic,Norway,2018,"Recorded: Stavern, 14–16 May, 2017",,,Strype Audio
14,12295816,Accepted,There's Nobody Else,5947606,Slim Jim (18),Laurie Records,38653,Vinyl,Rock,Garage Rock,US,1964,,,,
15,12295818,Accepted,The One and Only / Locke and Pine,6623176,Michael J. Birthelmer,Zanzibar Records Co. Inc,643652,Vinyl,Pop,,Canada,1980,Hamilton Artist,,,
Recorded at Grant Avenue ,,,,,,,,,,,,,,,,
C.A.P.A.C.,,,,,,,,,,,,,,,,
"M A P L""",,,,,,,,,,,,,,,,
16,12295819,Accepted,Autumn Chill (Chill Out & Lounge Grooves),194,Various,City Lounge,474505,File,Electronic,Downtempo,Europe,2015,(C) 2015 City Lounge,,,
17,12295820,Accepted,Καλημέρα Ήλιε,3234131,Μάνος Λοΐζος,Minos (2),97433,CD,"Folk, World, & Country",Éntekhno,Greece,,"""",,,
",""",https://www.youtube.com/watch?v=hATCuFPwD14,Fabelsound,,,,,,,,,,,,,,
18,12295821,Accepted,Artificial Paradise / Lonesome Train,290587,J.J. Cale,Silvertone Records,885,CD,Rock,,France,1992,Distributed by BMG,,,
",""",,MPO,,,,,,,,,,,,,,
19,12295822,Accepted,Não Me Batas Mais,4263371,Leonel Nunes,Dualsom,156300,CD,"Folk, World, & Country",,Portugal,1991,,,,
20,12295823,Accepted,Livin Large,6605286,Smooth Rapture,Independent Records Inc,1242354,CD,Hip Hop,,,2001,Arizona - Christian Rap,,,
21,12295824,Accepted,Im Glanz Der Weihnachtskerzen,838145,Berliner Motettenchor,Polydor,1610,Vinyl,"Folk, World, & Country",Religious,Germany,,,,,Deutsche Grammophon Gesellschaft Pressing Plant
22,12295825,Accepted,Ambient Me,2006319,Lucky Beaches,Lucky Beaches,1070551,File,Electronic,Ambient,"USA, Canada & Europe",2018,,,,
23,12295826,Accepted,Gift,5373,Curve,Universal,22532,CD,Electronic,Alternative Rock,UK,2002,"First UK pressing, very slightly different to the [url=https://www.discogs.com/release/402386]repress[/url] that has the barcode flipped and a different credit for UK press inside the inlay.",,,
℗ & © 2002 Universal International Music B.V. under exclusive license to Artful Records.,,,,,,,,,,,,,,,,
Distributed by The Universal Music Organisation / Fulfill.,,,,,,,,,,,,,,,,
Produced, engineered and recorded at Todal Studios by Curve and Ben Grosse. Mixed by Ben Grosse at The Mix Room Los Angeles. All songs written by Toni Halliday and Dean Garcia.,,,,,,,,,,,,,,,
Made with Fostex e24 and Pro Tools.,,,,,,,,,,,,,,,,
Original Transfers/Files by PK.,,,,,,,,,,,,,,,,
Mastered by Kevin Metcallfe at Soundmasters London.,,,,,,,,,,,,,,,,
A Blue Source Sleeve.,,,,,,,,,,,,,,,,
North American Management,,,,,,,,,,,,,,,,
www.bellmanagement.com,,,,,,,,,,,,,,,,
Legal: Russel Roberts at Sheridans.,,,,,,,,,,,,,,,,
Thanks to all our friends and collaborators.,,,,,,,,,,,,,,,,
"Gift Lyric sheets available for download at www.curve.co.uk""",2915,https://www.youtube.com/watch?v=eZTx-Ae87Vw,Universal International Music B.V.,,,,,,,,,,,,,
24,12295827,Accepted,The Burden of Isolation ,3720243,Filth (9),Not on Label (Filth (9) Self-Released),1495843,CDr,Rock,,US,2018,This version has inverted color artwork and is hand-numbered /150 ,,https://www.youtube.com/watch?v=mRN-e_mIfQQ,
25,12295828,Accepted,Fiesta De Verano,172758,Terry Winter,Amor (4),767885,Vinyl,Pop,,Mexico,1979,,,,"Linea Musical, S.A."
854,12284112,Accepted,Day And Night With Les Chakachas,354147,Chakachas,RCA Victor,11358,Vinyl,Jazz,Vocal,US,1966,,,,
26,12295829,Accepted,Это - Жириновский. Песни 2004,1787090,Владимир Жириновский,ЦА ЛДПР,164118,Cassette,Pop,,Russia,2004,Title on the cassette:,,,
"""""Песни в исполнении В. В. Жириновского и о нём""""",,,,,,,,,,,,,,,,
",""",,,,,,,,,,,,,,,,
27,12295830,Accepted,Dance Floor,185177,MC Ant,Raw Dog Records,52173,Cassette,Hip Hop,,US,1989,℗ PUBLISHED SAJA MUSIC / TROUTMAN MUSIC BMI (DANCE FLOOR ONLY),,https://www.youtube.com/watch?v=jGgOxoZxn0U,
28,12295831,Accepted,Great Classics By Great Composers,1027989,The Sinfonia Of London,Capitol Records,654,Vinyl,Classical,Romantic,US,,,,,
29,12295832,Accepted,Trio Sonatas,793064,Georg Philipp Telemann,cpo,89117,CD,Classical,Baroque,Germany,2003,"Recorded on January 29 - February 1, 2002.",,,SWR Studio Karlsruhe
30,12295833,Accepted,Zamaane Ko Dikhana Hai,621180,R. D. Burman,Music India,230554,Flexi-disc,Pop,Bollywood,India,1981,Zamaane Ko Dikhana Hai - sampler disc,,,
in - co-operation with Golden Tobacco,,,,,,,,,,,,,,,,
"presents - Audio preview of """"Nasir Hussain's ZAMAANE KO DIKHANA HAI""""",,,,,,,,,,,,,,,,
"Disc included in the cine-magazine of 1 81 - i. e January 1981""",1505510,,Music India Ltd.,,,,,,,,,,,,,
31,12295834,Accepted,Ejecutivos Agresivos,957509,Ejecutivos Agresivos,Hispavox,13104,Cassette,Pop,,Spain,1994,,,https://www.youtube.com/watch?v=t0On9tbnKd8,
32,12295835,Accepted,The Best Of Lynyrd Skynyrd,261760,Lynyrd Skynyrd,MCA Records,878,CD,Rock,Southern Rock,US,1999,,,,"MCA Records, Inc."
33,12295836,Accepted,Hard Times,678679,Lacy J. Dalton,Columbia,1866,8-Track Cartridge,Blues,Country,US,1980,,,https://www.youtube.com/watch?v=KY2maM9cWeY,"CBS Studios, Nashville"
34,12295837,Accepted,Bad Mans Blunder,6605227,Big John May And Little People,Country Showcase America,430953,Vinyl,"Folk, World, & Country",,North America (inc Mexico),1974,,,,
35,12295839,Accepted,Barrio,6482066,Lou Perez And His Orchestra,Parnaso,116170,Vinyl,Latin,Charanga,US,1972,1st US version,1397111,https://www.youtube.com/watch?v=t8mC51lfNzA,
36,12295840,Accepted,Os Furos O Enfeitado,4263371,Leonel Nunes,Dualsom,156300,CD,"Folk, World, & Country",,Portugal,1996,,3049709,,
37,12295842,Accepted,Ich Fang' Für Euch Den Sonnenschein,410342,Tony Marshall,Ariola,5410,Vinyl,Pop,Schlager,Austria,1972,Centre labels:,,,
Young Music,,,,,,,,,,,,,,,,
Ariola-Eurodisc GmbH., München,,,,,,,,,,,,,,,
Die Happy-LP von Tony Marshall [url=https://www.discogs.com/Tony-Marshall-Sch%C3%B6ne-Maid/release/3883079] LP 85 729 IT [/url],,,,,,,,,,,,,,,,
",""",https://www.youtube.com/watch?v=Jt-8Yo-3YB8,Ariola Eurodisc GmbH,,,,,,,,,,,,,,
38,12295843,Accepted,Hey Look At Her / The Kind Of Girl You Can't Foget,5490067,Terry Judge And The Barristers,SweDisc,185281,Vinyl,Pop,,Sweden,1964,,,,Oriole
39,12295845,Accepted,Used By You,3168291,Marcus Canty,Epic,1005,CDr,Funk / Soul,Soul,US,2012,Issued in slim jewel case with front picture sleeve only ,,,
40,12295847,Accepted,Lucky Duck,6306075,The Jazz Time USA All Stars,Coral,39155,Vinyl,Jazz,,Norway,,Printed in Norway - Trykk & Repro Offset-Olsen Oslo,,,
On sleeve:,,,,,,,,,,,,,,,,
Side A - Recorded: 3rd April 1953 at New York,,,,,,,,,,,,,,,,
"Side B - Recorded: 11th July 1952 at New York""",,,Proton (3),,,,,,,,,,,,,
41,12295848,Accepted,Mr. Sandman / Mambo Italiano,1311803,Eileen Scott,Gateway Top Tune,340815,Shellac,Pop,,US,1954,,2012416,,
42,12295849,Accepted,Blue & Sentimental,29964,Ike Quebec,Blue Note,281,Vinyl,Jazz,Cool Jazz,US,,Transitional era Liberty Records mono pressing from somewhere between 1966-1970. Runouts have RVG stamp on both sides meaning this was most likely an All Disc or Keel Mfg plant pressing (East Coast) from supplied original metal stampers.,,,
"Center labels do not have """"BLUE NOTE RECORDS • A DIVISION OF LIBERTY RECORDS"," INC."""" text"," and instead are same as original 1962 press center label text reading """"BLUE NOTE RECORDS • NEW YORK USA""""",,,,,,,,,,,,,,
Catalog number is same as original mono pressing by Plastylite and Liberty Pressing confirmed by weight of vinyl (Liberty pressings are around 147g versus the Plastylite pressings being around 163g).,,,,,,,,,,,,,,,,
Recorded on December 16," 1961 (tracks A1 to B2) and on December 23 (track B3).""",,https://www.youtube.com/watch?v=Wwf9NnOQ03k,Blue Note Records Inc.,,,,,,,,,,,,
43,12295850,Accepted,Let The Hammer Fall Vol. 75.,194,Various,Metal & Hard Rock Hammer World,962474,CD,Rock,Heavy Metal,Hungary,2009,,,,Hammer World
44,12295851,Accepted,Georgeous,243955,George Harrison,His Master's Choice,184350,CD,Rock,Rock & Roll,Europe,2014,"""",,,
",""",,,,,,,,,,,,,,,,
45,12295852,Accepted,La Paz Está En El Corazón,4940157,Compañía Lírica Pópera,Universal,22532,CD,Latin,Opera,Spain,2005,Promotional copy.,,,Universal Music Spain S.L.
46,12295853,Accepted,Stars And Stripes Forever / The Fairest Of The Fair,499047,Sousa's Band,Victor,61808,Shellac,Brass & Military,Marches,US,1946,Orthophonic Recording.,,,
"Made in U.S.A.""",,https://www.youtube.com/watch?v=AZwvbmcqI2k,"RCA Manufacturing Co., Inc.",,,,,,,,,,,,,
47,12295854,Accepted,Later That Day,6605333,Sack Lunch (2),Cuidado Records,1495866,File,Rock,Indie Rock,Sweden,2018,,,https://www.youtube.com/watch?v=tO9SLkbz36g,
48,12295855,Accepted, Special Album Spot Commercial - Live In Europe,269094,Canned Heat,Liberty,13531,Vinyl,Blues,,US,1971,Issued to Top 40 Radio Station D.J.'s in the USA This Canned Heat Live In Europe Promotional 45 has 1 Advert only ,,https://www.youtube.com/watch?v=xCDFWCSJk2U,
49,12295856,Accepted,Aqua Placenta,4381063,Ursula's Cartridges,Business Casual,698422,File,Electronic,Vaporwave,US,2018,Track names are listed as :,,,
2. ₱ℓa$ti¢ O¢€a₦ Wav€ A₱₱roa¢h€$,,,,,,,,,,,,,,,,
3. ΞXXΘNJΛMS '89,,,,,,,,,,,,,,,,
9. TRΛSH MΘVING ΘVΞR THΞ FΛCΞ ΘF THΞ WΛTΞRS,,,,,,,,,,,,,,,,
"12. PΛL3 BLu3 DΘt.""",1449122,,,,,,,,,,,,,,,
50,12295857,Accepted,Santo De Pau Feito,4263371,Leonel Nunes,Discotoni,598183,Cassette,"Folk, World, & Country",,Portugal,2006,,,,
51,12295858,Accepted,Wandelen,2163745,De Tuinen,Beer On The Rug,242586,File,Electronic,Abstract,US,2016,‘Wandelen’ was recorded in a room.,,,
April," 2016""",,,,,,,,,,,,,,,
52,12295859,Accepted,Εδώ Είμ' Εγώ,1945520,Γιώργος Μουφλουζέλης,Lyra,73677,CD,"Folk, World, & Country",Éntekhno,Greece,1998,"""""""Καινούργια Τραγούδια""""",,,
",""",,General Publishing Company,,,,,,,,,,,,,,
